State;House_id;Weight;House_relation;Sex;Age;Race;Marriage;Education;Ancestry;Language;Employment_status;Traveltime;Industry;Occupation;Hours;Weeks;Salary;Income;Earnings
Arizona;3399818;0018;03;2;14;8;5;04;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3416173;0008;01;1;48;8;5;09;210;1;6;000;939;422;40;40;025900;0025900;0025900
Arizona;3418846;0063;23;1;18;2;5;10;902;0;6;000;517;562;00;00;000000;0000000;0000000
Arizona;3431752;0019;01;2;31;8;4;04;210;1;1;010;787;422;48;40;019000;0019000;0019000
Arizona;3431752;0018;03;2;15;8;5;04;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3431752;0019;03;1;11;8;5;02;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3431752;0021;03;1;09;8;5;02;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3431752;0014;03;2;08;8;5;01;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3431752;0021;03;1;06;8;5;01;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3445452;0019;01;1;55;1;1;11;210;1;6;000;947;385;00;00;000000;0024000;0000000
Arizona;3445452;0021;02;2;55;1;1;10;210;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3449277;0016;01;2;39;1;3;14;271;1;1;000;707;492;20;35;000000;0031000;0005000
Arizona;3449277;0016;03;1;00;1;5;00;050;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3449277;0016;03;2;00;1;5;00;050;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3449277;0013;19;1;29;1;5;10;050;0;2;000;856;962;30;50;009000;0009000;0009000
Arizona;3461685;0024;01;1;52;8;3;10;210;1;1;015;769;644;52;40;033900;0037700;0034100
Arizona;3462649;0010;01;2;35;5;5;12;032;0;1;015;607;541;52;35;036700;0036700;0036700
Arizona;3462649;0014;18;2;35;1;5;12;210;1;1;015;607;900;52;40;014500;0014500;0014500
Arizona;3466042;0021;01;1;47;1;1;09;210;1;1;015;447;485;52;50;040000;0040000;0040000
Arizona;3466042;0024;02;2;46;1;1;07;210;1;1;005;786;254;52;30;009000;0009000;0009000
Arizona;3466042;0032;03;1;24;1;5;09;210;1;1;025;467;475;52;50;019000;0019000;0019000
Arizona;3466042;0024;03;2;10;1;5;03;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3469539;0038;23;1;18;1;5;10;148;0;6;000;859;443;30;30;003500;0003500;0003500
Arizona;3474471;0019;01;1;25;1;5;13;021;0;1;030;868;276;35;40;012500;0014900;0012500
Arizona;3476227;0026;01;1;24;1;5;09;290;0;1;020;077;624;45;50;010000;0010000;0010000
Arizona;3476227;0021;19;2;22;1;5;08;290;3;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3484110;0016;01;1;25;8;1;11;210;1;1;010;939;580;52;31;025000;0027200;0025000
Arizona;3484110;0010;02;2;22;8;1;11;210;1;1;020;699;481;52;40;020000;0020000;0020000
Arizona;3484110;0019;03;1;09;8;5;01;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3487116;0043;01;1;49;1;1;09;939;0;1;010;868;015;52;40;028400;0028400;0028400
Arizona;3487116;0024;02;2;45;8;1;09;210;1;1;010;868;402;52;80;016500;0016500;0016500
Arizona;3487116;0018;03;2;20;8;5;11;210;2;1;020;786;593;40;10;004900;0010400;0004900
Arizona;3487116;0019;03;2;12;8;5;04;211;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3488209;0029;01;2;31;1;5;14;050;0;1;015;677;243;52;45;029000;0029000;0029000
Arizona;3497248;0011;01;2;49;3;3;11;210;1;1;030;668;502;48;40;019000;0019000;0019000
Arizona;3497248;0010;19;1;31;3;5;09;920;0;6;000;786;734;00;00;000000;0000000;0000000
Arizona;3504653;0011;01;1;33;8;1;05;211;1;1;020;077;632;52;40;048000;0048000;0048000
Arizona;3504653;0010;02;2;35;3;1;07;920;1;1;005;866;830;00;00;000000;0000000;0000000
Arizona;3504653;0016;03;2;13;3;5;04;920;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3515796;0019;01;2;55;8;3;09;210;1;1;010;817;360;52;40;010000;0010000;0010000
Arizona;3515796;0021;06;2;65;8;5;02;210;4;6;000;000;000;00;00;000000;0006000;0000000
Arizona;3518154;0030;01;2;52;8;3;11;210;3;1;015;809;351;09;35;013000;0013000;0013000
Arizona;3518154;0029;06;1;60;8;5;01;999;4;6;000;779;913;00;00;000000;0001500;0000000
Arizona;3518154;0034;03;2;26;8;5;09;210;1;6;000;847;460;00;00;000000;0000000;0000000
Arizona;3518154;0030;03;2;18;8;5;09;210;1;1;015;758;013;52;40;013000;0013000;0013000
Arizona;3518154;0032;08;1;06;8;5;01;999;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3518154;0026;08;2;01;8;5;00;999;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3519116;0030;01;1;50;1;1;09;051;0;1;010;939;824;52;40;027600;0027900;0027600
Arizona;3519116;0018;02;2;49;1;1;09;051;0;1;020;947;593;52;40;024200;0024200;0024200
Arizona;3519116;0019;03;1;26;1;5;11;051;0;3;000;759;511;52;30;014700;0014710;0014700
Arizona;3523179;0028;23;1;21;1;5;11;291;0;1;010;457;524;45;30;012000;0012000;0012000
Arizona;3533186;0019;01;2;23;1;5;11;032;0;6;000;868;472;00;00;000000;0000000;0000000
Arizona;3533186;0024;17;2;23;1;5;10;999;0;1;020;868;406;52;32;008000;0008500;0008500
Arizona;3533186;0021;17;2;22;1;5;11;999;0;1;010;868;411;32;35;010500;0010500;0010500
Arizona;3544382;0024;01;1;23;1;5;11;089;0;6;000;859;472;20;40;005000;0005000;0005000
Arizona;3544382;0027;17;1;23;1;1;13;999;0;6;000;859;272;35;20;008000;0020000;0008000
Arizona;3554101;0026;01;1;83;1;2;13;924;0;6;000;000;000;00;00;000000;0026100;0000000
Arizona;3559307;0011;01;2;52;8;3;11;210;2;1;030;929;423;48;15;000000;0005000;0005000
Arizona;3559307;0013;03;1;24;8;5;12;210;0;1;015;077;814;52;40;018000;0018000;0018000
Arizona;3559307;0027;03;2;18;8;5;07;210;1;1;020;507;472;20;10;002000;0002000;0002000
Arizona;3559307;0019;03;2;17;8;5;06;210;1;1;010;868;472;44;06;001000;0001000;0001000
Arizona;3560201;0040;01;1;34;8;1;09;290;1;1;030;688;516;52;40;016800;0016800;0016800
Arizona;3560201;0042;02;2;34;8;1;09;291;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3560201;0038;03;1;11;8;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3560201;0037;03;1;09;8;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3562541;0016;01;1;38;2;1;10;999;0;1;025;859;443;52;40;025000;0025000;0025000
Arizona;3562541;0019;02;2;61;2;1;13;999;0;6;000;847;023;42;60;000000;0003000;0003000
Arizona;3566843;0024;01;1;31;8;1;06;210;1;6;000;779;913;50;48;021600;0021600;0021600
Arizona;3566843;0021;02;2;30;8;1;11;210;1;6;000;687;080;36;40;015600;0015600;0015600
Arizona;3566843;0024;03;2;04;8;5;01;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3566843;0032;03;1;02;8;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3575082;0035;01;2;30;1;3;09;924;0;1;045;866;514;32;40;015000;0016300;0015000
Arizona;3575082;0037;03;2;10;3;5;01;917;0;0;000;000;000;00;00;000000;0000000;0000000
