ID;Group;HW1.1;HW1.2;HW1.3;HW1.4;HW1.5;HW1.6;HW2.1;HW2.2;HW2.3;HW2.4;HW2.5;HW2.6;HW3.1;HW3.2;HW3.3;HW3.4;HW3.5;HW3.6;HW4.1;HW4.2;HW4.3;HW4.4;HW4.5;HW4.6
961399;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
A40768;1;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;;2
A51581;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
A72074;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;;;;2;;;;;;
A81903;1;1;1;1;1;;2;1;;;;;;1;1;;;;;1;1;1;1;;
A81917;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;
A92250;1;;1;1;1;;;1;1;1;1;1;;1;1;;;;;1;1;1;;;
A92302;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;0.5;;1;1;1;1;1;2
A92303;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;;;;1;1;1;1;1;2
A93787;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
A93792;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2
A93814;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
A93847;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;
A95504;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
A95511;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;0;2;1;1;1;1;1;2
A95516;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2,00
B02130;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
B05046;1;1;1;1;1;1;2;1;1;1;1;1;;1;1;;;;;1;1;;;;
B22812;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
B25705;1;;;;;;;1;1;0;0;0.5;;1;1;1;1;0.5;;1;1;1;1;;
B25713;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;0.5;1
B25933;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;;;;1;1;1;1;;
B26296;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
B35813;1;1;1;1;1;;2;1;1;1;1;1;1;1;1;;;;;1;1;1;;;
B35819;1;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;;;;1;1;1;1;1;2
B35831;1;;;;;;;;;;;;;;;;;;;;;;;;
B35835;1;1;1;1;;1;2;1;1;1;0;1;;1;1;1;1;;1;1;1;1;;;
B35836;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2
B35844;1;;;;;;;1;1;1;1;1;;;;;;;;1;1;;;;
B36780;1;;;;;;;;;;;;;;;;;;;;;;;;
981284;2;;;;;;;;;;;;;;;;;;;;;;;;
A61253;2;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;;;
A62070;2;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;
A81945;2;;1;1;1;1;2;;;;;;;;;;;;;;;;;;
A82163;2;;;;;;;;;;;;;;;;;;;;;;;;
